sample	K1	K2	K3	K4	K5
And_274	0.3397	0.0657	0.0837	0.4253	0.0857
And_275	0	0	1	0	0
And_276	0.6663	0	0.0003	0	0.3333
And_277	0	0.3333	0.6667	0	0
And_278	0.7506	0.0037	0.0013	0.1314	0.113
And_279	0	0.105	0.2296	0.6654	0
And_281	0.105	0.0553	0.4962	0.3432	0.0003
And_282	0	0	1	0	0
And_283	0	0.2637	0.2653	0.471	0
And_284	0	0.333	0.6663	0.0003	0.0003
And_285	0	0.045	0.0007	0.9543	0
And_286	0	0	1	0	0
And_288	0	0	1	0	0
And_289	0	0	1	0	0
And_290	0	0.3333	0.6667	0	0
And_291	0.7268	0.0003	0.0007	0.1673	0.105
And_292	0.0003	0.7367	0.005	0.258	0
And_293	0	0.196	0.2527	0.551	0.0003
And_294	0	0.1051	0.229	0.6659	0
And_295	0	0	1	0	0
And_296	0	0.1734	0.2368	0.5865	0.0033
And_297	0	0.1639	0.243	0.5928	0.0003
And_298	0	0.0663	0.1854	0.7482	0
And_299	0	1	0	0	0
And_300	0	1	0	0	0
And_302	0	0.3477	0.2673	0.3843	0.0007
And_303	0	0.3347	0.6653	0	0
And_304	0	0.9997	0.0003	0	0
And_305	0	1	0	0	0
And_306	0	1	0	0	0
And_307	0	1	0	0	0
And_308	0	0.0457	0	0.9543	0
And_309	0.1387	0.1503	0.0257	0.297	0.3883
And_310	0	0.2437	0.3247	0.4317	0
And_311	0.9323	0.0363	0.0307	0.0007	0
And_312	0	0.2422	0.3177	0.4401	0
And_313	0	0.0663	0.1884	0.7452	0
And_314	0	0.2405	0.3185	0.441	0
And_315	0.0017	0.0533	0.1287	0.8163	0
And_316	0	0	1	0	0
And_317	0.001	0.053	0.1288	0.8169	0.0003
And_318	0	0.2401	0.3146	0.4453	0
And_319	0	0.1051	0.229	0.6659	0
And_320	0.9343	0.0367	0.0287	0.0003	0
And_321	0	0.2418	0.316	0.4423	0
And_322	0	0.1631	0.1421	0.6938	0.001
And_323	0	0.2399	0.3165	0.4436	0
And_324	0	0.3333	0.6667	0	0
And_325	0.0047	0.1735	0.2293	0.5865	0.006
And_326	0.2682	0.0033	0.0393	0.6304	0.0587
And_327	0	0.2421	0.3136	0.4443	0
And_328	0.2712	0.0037	0.0383	0.6281	0.0587
And_329	0	1	0	0	0
And_330	0	1	0	0	0
And_331	0	1	0	0	0
And_332	0	0	1	0	0
And_333	0	1	0	0	0
And_334	0	1	0	0	0
And_335	0	0.2599	0.2682	0.472	0
And_336	0.0013	0.0533	0.1284	0.817	0
And_337	0	1	0	0	0
And_338	0	0.2733	0.2533	0.4693	0.004
And_339	0.3213	0.0943	0.1713	0.3056	0.1076
And_340	0.3333	0	0	0	0.6667
And_341	0.3333	0	0	0	0.6667
And_342	0	0.7457	0.0003	0.254	0
And_343	0.0173	0.2625	0.2074	0.511	0.0017
And_344	0	0.1651	0.1394	0.6945	0.001
And_345	0	0.3333	0.6667	0	0
And_346	0	0.1626	0.2358	0.6003	0.0013
And_347	0	0.2389	0.3142	0.447	0
And_348	0.1375	0.1508	0.0264	0.2973	0.3881
And_349	0.9343	0.035	0.0303	0.0003	0
And_350	0	0.3825	0.1904	0.4255	0.0017
And_351	0.9323	0.0357	0.0317	0.0003	0
And_352	0.1227	0.115	0.0803	0.6747	0.0073
And_353	0.0023	0.0313	0.0816	0.8768	0.008
And_354	0	0	1	0	0
And_355	0	0	1	0	0
And_356	0	0	1	0	0
And_357	0.1247	0.1157	0.075	0.6772	0.0073
And_358	0	0	1	0	0
And_359	0	0	1	0	0
And_360	0	0.0003	0	0.9997	0
And_361	0.0007	0.0967	0.077	0.8256	0
And_362	0	0.0003	0	0.9997	0
And_363	0	0.0003	0	0.9997	0
And_364	0.0003	0.0354	0.9393	0.025	0
And_365	0.1383	0.1504	0.0253	0.2976	0.3884
And_366	0.138	0.1497	0.0273	0.2969	0.3881
And_367	0.9333	0.0363	0.03	0.0003	0
And_368	0.131	0.0984	0.075	0.6946	0.001
And_369	0	0.1778	0.2257	0.5952	0.0013
And_370	0.666	0.0003	0.0003	0	0.3333
And_371	0.0003	0.2097	0.138	0.644	0.008
And_372	0	0.1047	0.2284	0.6669	0
And_373	0	0.1033	0.2292	0.6674	0
And_374	0.0363	0.1877	0.1903	0.5857	0
And_375	0.0353	0.1847	0.192	0.588	0
And_376	0	0.7463	0.0003	0.2533	0
And_377	0.035	0.1851	0.1917	0.5882	0
And_378	0.2482	0.132	0.0374	0.1657	0.4167
And_379	0.1289	0.104	0.0743	0.6918	0.001
And_380	0	0.3333	0.6667	0	0
And_381	0	0.163	0.2424	0.5939	0.0007
And_383	0.0877	0.1294	0.1444	0.6201	0.0183
And_384	0.033	0.1324	0.1163	0.6507	0.0677
And_385	0.087	0.1294	0.1457	0.6189	0.019
And_386	0.0033	0.3293	0.6553	0.0103	0.0017
And_387	0.0007	0.0947	0.079	0.8256	0
And_388	0	0.1057	0.2298	0.6646	0
And_389	0.0017	0.0817	0.2477	0.6603	0.0087
And_391	0	0.0007	0	0.9993	0
And_392	0.036	0.1838	0.1921	0.5881	0
And_393	0	0.1057	0.2283	0.666	0
And_394	0	0.1067	0.2278	0.6656	0
And_395	0	0.0003	0	0.9997	0
And_396	0	0.003	0.001	0.996	0
And_397	0	0.103	0.2233	0.6737	0
And_398	0.247	0.1301	0.038	0.1688	0.4161
And_399	0	0.3383	0.6023	0.056	0.0033
And_400	0	0.3333	0.6667	0	0
And_401	0	0.3333	0.6667	0	0
And_402	0.138	0.1493	0.026	0.2983	0.3883
And_403	0.1367	0.1493	0.0263	0.3003	0.3873
And_404	0.8753	0.021	0.0017	0.102	0
And_405	0.033	0.3087	0.5987	0.05	0.0097
And_406	0.0107	0.3273	0.614	0.0414	0.0067
And_407	0.009	0.3503	0.2137	0.4077	0.0193
And_408	0	0.3457	0.2647	0.389	0.0007
And_409	0	0.0661	0.1918	0.7422	0
And_410	0.9237	0.0383	0.037	0.001	0
And_412	0.3361	0.1567	0.0667	0.3078	0.1327
And_414	0.0067	0.706	0.012	0.2733	0.002
And_415	0.9314	0.035	0.033	0.0007	0
And_417	0.0363	0.1572	0.1807	0.5995	0.0263
And_418	0	0.7463	0.0003	0.2533	0
And_419	0.3247	0.1673	0.073	0.2861	0.1489
And_420	0.1453	0.079	0.3653	0.396	0.0143
And_422	0	0.178	0.236	0.5853	0.0007
And_423	0.5933	0.0017	0.0113	0.2737	0.12
And_424	0	0.3333	0.6667	0	0
And_425	0.0297	0.1985	0.1488	0.5891	0.034
And_426	0.0027	0.2986	0.2768	0.422	0
And_427	0.0043	0.3173	0.2223	0.4313	0.0247
And_428	0.0303	0.2063	0.145	0.5854	0.033
And_429	0	0.3807	0.1903	0.4273	0.0017
And_430	0.005	0.3142	0.2232	0.4322	0.0253
And_431	0.3333	0	0	0	0.6667
And_432	0	0.2618	0.264	0.4742	0
And_433	0	0.2637	0.2648	0.4714	0
And_434	0	0.2448	0.3266	0.4286	0
And_436	0	0.0003	0	0.9997	0
And_437	0	0.3327	0.6657	0.0017	0
And_439	0.666	0.0003	0.0003	0	0.3333
And_440	0.4648	0.003	0.059	0.3399	0.1333
And_441	0.3333	0	0	0	0.6667
And_442	0.3333	0	0	0	0.6667
And_444	0.935	0.0353	0.0293	0.0003	0
And_445	0	0.0003	0	0.9997	0
And_446	0	0.1821	0.2368	0.5811	0
And_447	0	0.3333	0.6667	0	0
And_448	0.2572	0.1999	0.1596	0.215	0.1683
And_449	0	0.3333	0.6667	0	0
And_450	0.6381	0.0003	0.0003	0.2522	0.1091
And_451	0.6186	0.0007	0.0003	0.2318	0.1486
And_452	0	0.333	0.6657	0.0013	0
And_453	0.3333	0	0	0	0.6667
And_454	0	0.3333	0.6667	0	0
And_455	0	0.3333	0.6663	0.0003	0
And_456	0.0277	0.1851	0.2782	0.502	0.007
And_457	0.666	0.0003	0.0003	0	0.3333
And_458	0.0003	0.2798	0.3727	0.3468	0.0003
And_459	0.666	0.0003	0.0003	0	0.3333
And_460	0	0.3333	0.6667	0	0
And_461	0.1324	0.0957	0.113	0.6429	0.016
And_462	0	0.0003	0.9993	0.0003	0
And_463	0	0	1	0	0
And_464	0.1314	0.0994	0.0747	0.6939	0.0007
And_465	0.0007	0.544	0.1117	0.3343	0.0093
And_466	0	0.7467	0.0003	0.253	0
And_467	0	0.332	0.6677	0.0003	0
And_468	0	0.336	0.6387	0.0223	0.003
And_469	0.0003	0.2354	0.3516	0.4124	0.0003
And_470	0.0067	0.3543	0.2138	0.4049	0.0204
And_471	0.0366	0.1839	0.1938	0.5857	0
And_472	0.037	0.1214	0.13	0.6902	0.0213
And_473	0	0.0003	0	0.9997	0
And_474	0	0.0003	0.0007	0.999	0
And_475	0.666	0.0003	0.0003	0	0.3333
And_476	0	0.043	0	0.957	0
And_477	0.6058	0.0526	0.0243	0.2369	0.0803
And_478	0	0.3333	0.6667	0	0
And_479	0.9053	0.0227	0.064	0.008	0
And_480	0	0.7463	0.0003	0.2533	0
And_481	0	0.746	0.0003	0.2537	0
And_482	0.7576	0.0007	0.142	0.0007	0.0991
And_483	0.001	0.3204	0.2112	0.4521	0.0153
And_484	0.7586	0.0007	0.1397	0.0007	0.1004
And_485	0	0.7463	0.0003	0.2531	0.0003
And_486	0.0013	0.3182	0.2084	0.4553	0.0167
And_487	0	0	1	0	0
And_488	0.2496	0.13	0.0377	0.1663	0.4163
And_489	0	0.7473	0.0003	0.2523	0
